,Date,Weekday,Open,High,Low,Close,Adj Close,Volume
317,2011-04-25,Monday,26537.0,26537.0,26259.0,26262.0,26261.5,170229681
318,2011-04-26,Tuesday,26260.0,26325.0,26260.0,26274.0,26273.6,395492905
319,2011-04-27,Wednesday,26267.0,26267.0,25782.0,25782.0,25781.8,414291321
320,2011-04-30,Saturday,25701.0,25701.0,25322.0,25322.0,25321.7,270430899
321,2011-05-01,Sunday,25189.0,25189.0,24685.0,24685.0,24685.3,397995023
322,2011-05-02,Monday,24783.0,25050.0,24783.0,25038.0,25037.7,243449460
323,2011-05-03,Tuesday,25038.0,25270.0,25038.0,25211.0,25211.2,381828947
324,2011-05-04,Wednesday,25209.0,25520.0,25209.0,25520.0,25520.2,262082207
325,2011-05-08,Sunday,25520.0,25557.0,25367.0,25367.0,25366.6,244553353
326,2011-05-09,Monday,25366.0,25753.0,25366.0,25753.0,25752.7,225072512
327,2011-05-10,Tuesday,25754.0,26042.0,25754.0,26042.0,26041.7,352726500
328,2011-05-11,Wednesday,26042.0,26100.0,25892.0,26003.0,26002.8,233927410
329,2011-05-14,Saturday,26034.0,26055.0,26034.0,26034.0,26033.6,150580706
330,2011-05-15,Sunday,26071.0,26124.0,25908.0,25908.0,25908.5,201805026
331,2011-05-16,Monday,25916.0,25919.0,25760.0,25760.0,25759.7,151706397
332,2011-05-17,Tuesday,25765.0,25773.0,25731.0,25773.0,25773.4,120900716
333,2011-05-18,Wednesday,25773.0,25941.0,25773.0,25941.0,25940.8,231417667
334,2011-05-21,Saturday,26050.0,26158.0,26050.0,26156.0,26155.6,249629069
335,2011-05-22,Sunday,26129.0,26165.0,26039.0,26056.0,26055.5,211336104
336,2011-05-23,Monday,26056.0,26081.0,26020.0,26060.0,26059.8,202072310
337,2011-05-24,Tuesday,26050.0,26074.0,25862.0,25862.0,25861.9,181125959
338,2011-05-25,Wednesday,25861.0,25861.0,25291.0,25291.0,25290.7,162477350
339,2011-05-28,Saturday,25309.0,25309.0,25024.0,25043.0,25043.4,155143135
340,2011-05-29,Sunday,24601.0,24601.0,24601.0,24601.0,24600.6,127365301
341,2011-05-30,Monday,24601.0,24865.0,24601.0,24865.0,24865.3,239081365
342,2011-05-31,Tuesday,24865.0,25121.0,24865.0,25121.0,25120.9,135612630
343,2011-06-06,Monday,25093.0,25302.0,25093.0,25292.0,25291.8,101693125
344,2011-06-07,Tuesday,25273.0,25280.0,25121.0,25123.0,25123.1,108659638
345,2011-06-08,Wednesday,25123.0,25300.0,25051.0,25286.0,25286.5,191279179
346,2011-06-11,Saturday,25394.0,25434.0,25245.0,25245.0,25245.1,173157516
347,2011-06-12,Sunday,25245.0,25245.0,25122.0,25122.0,25121.7,231175551
348,2011-06-13,Monday,25164.0,25266.0,25164.0,25238.0,25237.5,244041825
349,2011-06-14,Tuesday,25236.0,25250.0,25043.0,25043.0,25043.3,147389685
350,2011-06-15,Wednesday,25045.0,25045.0,24855.0,24855.0,24854.8,128848073
351,2011-06-18,Saturday,24855.0,25194.0,24855.0,25187.0,25187.4,119893783
352,2011-06-19,Sunday,25209.0,25250.0,25209.0,25214.0,25214.1,115784421
353,2011-06-20,Monday,25215.0,25224.0,25121.0,25121.0,25120.9,118747621
354,2011-06-21,Tuesday,25130.0,25197.0,25130.0,25182.0,25181.6,115110446
355,2011-06-22,Wednesday,25175.0,25181.0,25126.0,25126.0,25126.1,157281821
356,2011-06-25,Saturday,25125.0,25125.0,25024.0,25024.0,25023.5,90371505
357,2011-06-26,Sunday,25023.0,25023.0,24675.0,24675.0,24674.9,218550835
358,2011-06-27,Monday,24639.0,24639.0,24149.0,24149.0,24148.6,260424718
359,2011-06-28,Tuesday,24149.0,24209.0,24138.0,24180.0,24180.5,131812579
